"Disp"	"F1"	"F2"	"F3"	"F4"	"F5"	"F6"	"F7"	"F8"	"F9"	"F10"	"F11"	"F12"	"F13"	"F14"	"F15"
52.0	1.76305	2.660456	2.12231	2.923933	2.711702	2.805498	2.710428	2.927908	2.934743	3.248537	3.696546	2.867014	2.808605	3.172729	2.942821
52.5	1.787338	2.692839	2.153429	2.955674	2.742821	2.840295	2.745846	2.963948	2.968919	3.285819	3.736936	2.902432	2.844023	3.210011	2.979482
53.0	1.816608	2.720864	2.18517	2.987416	2.782653	2.877577	2.781264	3.00123	3.009929	3.317509	3.772354	2.941579	2.880063	3.24543	3.016765
53.5	1.83965	2.752002	2.211932	3.019157	2.811905	2.912374	2.817925	3.039134	3.045348	3.354791	3.806529	2.975133	2.922937	3.282712	3.052183
54.0	1.865184	2.7875	2.243051	3.050898	2.844891	2.943443	2.852101	3.076416	3.082009	3.393317	3.846919	3.008687	2.957734	3.315024	3.088844
54.5	1.891963	2.822998	2.27417	3.088241	2.877877	2.980104	2.885655	3.108106	3.115563	3.428735	3.881716	3.040998	2.990667	3.35417	3.124262
55.0	1.918741	2.857249	2.306534	3.115003	2.907129	3.009308	2.920452	3.14601	3.15036	3.459803	3.918376	3.075795	3.027328	3.39021	3.15968
55.5	1.946766	2.889011	2.333296	3.146122	2.940115	3.044105	2.956491	3.182671	3.187642	3.496464	3.954416	3.114942	3.059018	3.424385	3.19137
56.0	1.971054	2.918903	2.364415	3.175374	2.976213	3.078902	2.99191	3.220575	3.221196	3.533125	3.99232	3.147874	3.0963	3.454211	3.22741
56.5	1.999078	2.950042	2.396156	3.209605	3.009821	3.113699	3.029192	3.253508	3.261585	3.569786	4.029602	3.180807	3.132961	3.489008	3.26345
57.0	2.025234	2.980557	2.426653	3.241346	3.039695	3.152224	3.060261	3.290169	3.297625	3.605826	4.065021	3.214983	3.16838	3.52629	3.303217
57.5	2.053259	3.013564	2.457149	3.277444	3.073304	3.186399	3.096922	3.327451	3.330558	3.642487	4.099817	3.249158	3.203798	3.557359	3.338636
58.0	2.076924	3.05093	2.489513	3.309808	3.105667	3.216847	3.132961	3.364733	3.365355	3.67542	4.137721	3.282091	3.247294	3.600855	3.370947
58.5	2.104949	3.083314	2.520632	3.341549	3.142388	3.252886	3.167758	3.396423	3.400773	3.709595	4.178731	3.323723	3.282091	3.634409	3.407608
59.0	2.132973	3.113206	2.549261	3.374535	3.174129	3.285819	3.200691	3.433084	3.43557	3.746878	4.215393	3.35852	3.317509	3.669827	3.440541
59.5	2.160997	3.144967	2.579758	3.403787	3.205248	3.32683	3.234866	3.472231	3.472852	3.782296	4.249568	3.39021	3.352927	3.706488	3.474095
60.0	2.184663	3.176728	2.613366	3.43615	3.238856	3.35852	3.272149	3.507649	3.507028	3.819578	4.284986	3.420657	3.388345	3.736314	3.510756
60.5	2.215178	3.21534	2.644485	3.477227	3.27122	3.392074	3.308188	3.544931	3.547417	3.856861	4.325376	3.456697	3.423142	3.771111	3.546796
61.0	2.240711	3.246478	2.675604	3.505857	3.30794	3.427492	3.343607	3.577864	3.58035	3.889172	4.361415	3.492115	3.459803	3.803422	3.582835
61.5	2.269359	3.279485	2.704856	3.539465	3.340304	3.458561	3.379646	3.613282	3.615768	3.923347	4.395591	3.53064	3.500814	3.84319	3.619496
62.0	2.293647	3.313114	2.737842	3.572451	3.372045	3.493979	3.414443	3.651186	3.649943	3.96063	4.429766	3.569786	3.534368	3.876745	3.652429
62.5	2.322917	3.342384	2.769583	3.602947	3.403787	3.526912	3.447997	3.689711	3.684119	3.996048	4.464563	3.603962	3.569786	3.912163	3.68909
63.0	2.349695	3.375391	2.801947	3.634067	3.434906	3.561087	3.482173	3.722023	3.720159	4.032088	4.501224	3.640002	3.605205	3.944474	3.72513
63.5	2.378965	3.407775	2.831199	3.674521	3.467269	3.602719	3.518212	3.759305	3.760548	4.063778	4.534157	3.676041	3.642487	3.979892	3.761169
64.0	2.402631	3.445141	2.864807	3.705018	3.5015	3.634409	3.555495	3.795345	3.794723	4.10106	4.570197	3.712081	3.683498	4.018417	3.800937
64.5	2.431278	3.475033	2.896548	3.739249	3.540087	3.669827	3.587806	3.833248	3.830763	4.135857	4.607479	3.743771	3.715809	4.053215	3.838219
65.0	2.46117	3.50804	2.929534	3.769745	3.571829	3.705246	3.623846	3.867424	3.869288	4.172518	4.640411	3.777325	3.750606	4.088011	3.873016
65.5	2.490441	3.542292	2.958164	3.803976	3.605437	3.733829	3.659885	3.911541	3.900978	4.205451	4.678315	3.812743	3.787267	4.122808	3.909056
66.0	2.515351	3.574053	2.990527	3.839451	3.635311	3.769868	3.695925	3.939503	3.937639	4.240248	4.714355	3.843812	3.823307	4.156362	3.943231
66.5	2.543376	3.60706	3.023514	3.871193	3.66892	3.809636	3.727615	3.972436	3.977407	4.27753	4.749773	3.880473	3.856861	4.189295	3.979271
67.0	2.573268	3.644426	3.055877	3.904179	3.708752	3.842569	3.765519	4.008475	4.010961	4.314812	4.783949	3.914027	3.893522	4.222849	4.010961
67.5	2.602538	3.674941	3.085129	3.931563	3.739249	3.879851	3.799694	4.049486	4.047622	4.345881	4.818746	3.947581	3.931425	4.255782	4.043894
68.0	2.627449	3.70857	3.118737	3.963927	3.771612	3.909677	3.835734	4.077448	4.079312	4.383163	4.852921	3.983621	3.971193	4.289336	4.079933
68.5	2.657964	3.740954	3.150479	3.998158	3.806465	3.943853	3.867424	4.122808	4.115973	4.419203	4.887718	4.018417	4.005369	4.327861	4.119701
69.0	2.687235	3.77147	3.183465	4.033011	3.838829	3.97865	3.899114	4.157605	4.15077	4.457107	4.923758	4.049486	4.04203	4.360172	4.153877
69.5	2.715259	3.811327	3.213339	4.064752	3.87057	4.017796	3.935775	4.194887	4.190538	4.493146	4.958554	4.081176	4.078691	4.394969	4.191159
70.0	2.740793	3.844333	3.24508	4.098361	3.91227	4.050729	3.971815	4.226577	4.22782	4.523593	4.993351	4.115352	4.110381	4.427902	4.222849
70.5	2.771931	3.876095	3.278688	4.132591	3.940899	4.085526	4.009718	4.264481	4.261996	4.559012	5.027527	4.151391	4.148906	4.464563	4.260753
71.0	2.801201	3.907233	3.312919	4.164333	3.97513	4.119701	4.040787	4.299899	4.296793	4.595673	5.061081	4.190538	4.189916	4.498117	4.291821
71.5	2.832339	3.941485	3.340926	4.196074	4.006248	4.151391	4.076205	4.337182	4.328483	4.631712	5.095256	4.223471	4.222228	4.535399	4.334696
72.0	2.857872	3.971378	3.374535	4.234039	4.03799	4.186188	4.111623	4.370736	4.365143	4.663403	5.131917	4.25951	4.25951	4.569575	4.370114
72.5	2.88652	4.005007	3.405654	4.263291	4.067864	4.226577	4.149527	4.406154	4.405533	4.698821	5.165472	4.289958	4.294929	4.600644	4.406154
73.0	2.917658	4.038013	3.441752	4.298144	4.106452	4.261374	4.183081	4.442815	4.439708	4.734239	5.200268	4.321026	4.32724	4.631712	4.436601
73.5	2.947551	4.072266	3.471003	4.331752	4.138815	4.293064	4.2185	4.479476	4.471398	4.769657	5.234444	4.35458	4.361415	4.66713	4.472641
74.0	2.975575	4.10465	3.504612	4.362249	4.168067	4.328483	4.25516	4.51303	4.508059	4.805075	5.269241	4.391241	4.398076	4.700063	4.513651
74.5	3.006091	4.138902	3.536975	4.395857	4.200431	4.359551	4.289958	4.550313	4.545963	4.837387	5.302795	4.425416	4.43598	4.731132	4.546584
75.0	3.035361	4.172531	3.570584	4.433823	4.233417	4.396212	4.322269	4.584488	4.583245	4.874048	5.331999	4.455864	4.469534	4.764686	4.582003
75.5	3.064008	4.213634	3.60108	4.466186	4.265158	4.431009	4.359551	4.623634	4.618664	4.908844	5.364311	4.489418	4.502467	4.800105	4.617421
76.0	3.092655	4.246017	3.633444	4.499794	4.305613	4.466427	4.395591	4.655324	4.649732	4.944884	5.397865	4.519866	4.538507	4.837387	4.648489
76.5	3.12068	4.274042	3.665185	4.530913	4.338599	4.501224	4.434116	4.691364	4.683908	4.974089	5.432662	4.557769	4.571439	4.871562	4.682044
77.0	3.148704	4.30518	3.701906	4.565145	4.369718	4.527943	4.464563	4.728025	4.71684	5.01075	5.466837	4.590702	4.606236	4.896417	4.713734
77.5	3.179219	4.33445	3.729913	4.601865	4.403948	4.563983	4.501224	4.758472	4.751016	5.046168	5.502255	4.619906	4.637926	4.931835	4.747288
78.0	3.207867	4.368702	3.764143	4.631739	4.431955	4.59878	4.537264	4.792648	4.790784	5.082208	5.53581	4.651596	4.679558	4.963525	4.787055
78.5	3.23776	4.401709	3.798374	4.665347	4.474277	4.632955	4.573925	4.829309	4.824338	5.112655	5.566257	4.683908	4.712491	4.996458	4.82061
79.0	3.269521	4.434715	3.832605	4.698956	4.502906	4.661538	4.605615	4.86162	4.857271	5.148073	5.599811	4.718083	4.745424	5.036848	4.853542
79.5	3.300036	4.466476	3.861857	4.732564	4.53527	4.696335	4.64414	4.898281	4.891446	5.181627	5.632744	4.751637	4.780842	5.071023	4.887718
80.0	3.328061	4.500729	3.895465	4.766172	4.569501	4.737346	4.679558	4.931835	4.925	5.217045	5.663813	4.788298	4.81626	5.102713	4.926243
80.5	3.357953	4.533113	3.928451	4.794179	4.601865	4.764065	4.714976	4.967875	4.954826	5.249978	5.695502	4.821231	4.850436	5.13751	4.958554
81.0	3.389092	4.56861	3.962682	4.827166	4.641697	4.79824	4.744802	5.002672	4.996458	5.282911	5.72595	4.854164	4.885854	5.169821	4.99273
81.5	3.418984	4.601617	3.993179	4.866998	4.677795	4.83428	4.782706	5.037469	5.028769	5.317708	5.75764	4.885854	4.916923	5.200268	5.023798
